date,week,kind,medical,name,time
2026-06-01,月曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-06-02,火曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-06-03,水曜日,1,指定なし,県立今治病院,"08:30～17:15 / 22:30～翌08:30"
2026-06-03,水曜日,1,指定なし,今治セントラルクリニック,17:15～22:30
2026-06-04,木曜日,1,指定なし,木原病院,08:30～翌08:30
2026-06-05,金曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-06-06,土曜日,1,指定なし,放射線第一病院,08:30～17:30
2026-06-06,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-06-06,土曜日,4,整形外科,三木病院,08:30～17:30
2026-06-07,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-06-07,日曜日,7,小児科,県立今治病院,"09:00～12:00 / 14:00～17:00"
2026-06-07,日曜日,9,指定なし,有津むらかみクリニック,09:00～17:00
2026-06-08,月曜日,1,指定なし,広瀬病院,08:30～翌08:30
2026-06-09,火曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-06-10,水曜日,1,指定なし,木原病院,08:30～翌08:30
2026-06-11,木曜日,1,指定なし,県立今治病院,08:30～翌08:30
2026-06-12,金曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-06-13,土曜日,1,指定なし,木原病院,08:30～17:30
2026-06-13,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-06-14,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-06-14,日曜日,5,内科,医師会市民病院,09:00～17:30
2026-06-14,日曜日,7,小児科,医師会市民病院,"09:00～12:00 / 14:00～17:00"
2026-06-14,日曜日,9,指定なし,大三島中央病院,09:00～17:00
2026-06-15,月曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-06-16,火曜日,1,指定なし,県立今治病院,08:30～翌08:30
2026-06-17,水曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-06-18,木曜日,1,指定なし,木原病院,08:30～翌08:30
2026-06-19,金曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-06-20,土曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-06-21,日曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-06-21,日曜日,7,小児科,まつうらバンビクリニック,"09:00～12:00 / 14:00～17:00"
2026-06-21,日曜日,9,指定なし,斎藤クリニック,09:00～17:00
2026-06-22,月曜日,1,指定なし,広瀬病院,08:30～翌08:30
2026-06-23,火曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-06-24,水曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-06-25,木曜日,1,指定なし,県立今治病院,08:30～翌08:30
2026-06-26,金曜日,1,指定なし,木原病院,08:30～翌08:30
2026-06-27,土曜日,1,指定なし,今治第一病院,08:30～17:30
2026-06-27,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-06-28,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-06-28,日曜日,5,内科,医師会市民病院,09:00～17:30
2026-06-28,日曜日,7,小児科,医師会市民病院,"09:00～12:00 / 14:00～17:00"
2026-06-28,日曜日,9,指定なし,片山医院,09:00～17:00
2026-06-29,月曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-06-30,火曜日,1,指定なし,済生会今治病院,08:30～翌08:30
