date,week,kind,medical,name,time
2026-04-01,水曜日,1,指定なし,木原病院,08:30～翌08:30
2026-04-02,木曜日,1,指定なし,県立今治病院,08:30～翌08:30
2026-04-03,金曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-04-04,土曜日,1,指定なし,瀬戸内海病院,08:30～17:30
2026-04-04,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-04-05,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-04-05,日曜日,7,小児科,県立今治病院,09:00～12:00 / 14:00～17:00
2026-04-05,日曜日,9,指定なし,大三島中央病院,09:00～17:00
2026-04-06,月曜日,1,指定なし,広瀬病院,08:30～翌08:30
2026-04-07,火曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-04-08,水曜日,1,指定なし,県立今治病院,08:30～17:15 / 22:30～翌08:30
2026-04-08,水曜日,1,指定なし,今治セントラルクリニック,17:15～22:30
2026-04-09,木曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-04-10,金曜日,1,指定なし,木原病院,08:30～翌08:30
2026-04-11,土曜日,1,指定なし,今治第一病院,08:30～17:30
2026-04-11,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-04-12,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-04-12,日曜日,5,内科,医師会市民病院,09:00～17:30
2026-04-12,日曜日,7,小児科,医師会市民病院,09:00～12:00 / 14:00～17:00
2026-04-12,日曜日,9,指定なし,斎藤クリニック,09:00～17:00
2026-04-13,月曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-04-14,火曜日,1,指定なし,県立今治病院,08:30～翌08:30
2026-04-15,水曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-04-16,木曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-04-17,金曜日,1,指定なし,木原病院,08:30～翌08:30
2026-04-18,土曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-04-19,日曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-04-19,日曜日,7,小児科,丹こどもクリニック,09:00～12:00 / 14:00～17:00
2026-04-19,日曜日,9,指定なし,片山医院,09:00～17:00
2026-04-20,月曜日,1,指定なし,広瀬病院,08:30～翌08:30
2026-04-21,火曜日,1,指定なし,県立今治病院,08:30～翌08:30
2026-04-22,水曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-04-23,木曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-04-24,金曜日,1,指定なし,木原病院,08:30～翌08:30
2026-04-25,土曜日,1,指定なし,今治セントラルクリニック,08:30～17:30
2026-04-25,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-04-26,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-04-26,日曜日,5,内科,医師会市民病院,09:00～17:30
2026-04-26,日曜日,7,小児科,医師会市民病院,09:00～12:00 / 14:00～17:00
2026-04-26,日曜日,9,指定なし,はかた外科胃腸科,09:00～17:00
2026-04-27,月曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-04-28,火曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-04-29,祝日,1,指定なし,今治第一病院,08:30～翌08:30
2026-04-29,祝日,7,小児科,みぶ小児科,09:00～12:00 / 14:00～17:00
2026-04-29,祝日,9,指定なし,しのざき整形外科,09:00～17:00
2026-04-30,木曜日,1,指定なし,木原病院,08:30～翌08:30
