date,week,kind,medical,name,time
2026-07-01,水曜日,1,指定なし,木原病院,08:30～翌08:30
2026-07-02,木曜日,1,指定なし,県立今治病院,08:30～翌08:30
2026-07-03,金曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-07-04,土曜日,1,指定なし,Ａ＇ｓクリニック,08:30～17:30
2026-07-04,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-07-04,土曜日,4,整形外科,三木病院,08:30～17:30
2026-07-05,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-07-05,日曜日,7,小児科,県立今治病院,"09:00～12:00 / 14:00～17:00"
2026-07-05,日曜日,9,指定なし,はかた外科胃腸科,09:00～17:00
2026-07-06,月曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-07-07,火曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-07-08,水曜日,1,指定なし,県立今治病院,"08:30～17:15 / 22:30～翌08:30"
2026-07-08,水曜日,1,指定なし,今治セントラルクリニック,17:15～22:30
2026-07-09,木曜日,1,指定なし,木原病院,08:30～翌08:30
2026-07-10,金曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-07-11,土曜日,1,指定なし,今治第一病院,08:30～17:30
2026-07-11,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-07-12,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-07-12,日曜日,5,内科,医師会市民病院,09:00～17:30
2026-07-12,日曜日,7,小児科,医師会市民病院,"09:00～12:00 / 14:00～17:00"
2026-07-12,日曜日,9,指定なし,しのざき整形外科,09:00～17:00
2026-07-13,月曜日,1,指定なし,広瀬病院,08:30～翌08:30
2026-07-14,火曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-07-15,水曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-07-16,木曜日,1,指定なし,県立今治病院,"08:30～17:15 / 22:30～翌08:30"
2026-07-16,木曜日,1,指定なし,消化器科久保病院,17:15～22:30
2026-07-17,金曜日,1,指定なし,木原病院,08:30～翌08:30
2026-07-18,土曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-07-19,日曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-07-19,日曜日,7,小児科,済生会今治病院,"09:00～12:00 / 14:00～17:00"
2026-07-19,日曜日,9,指定なし,大三島中央病院,09:00～17:00
2026-07-20,祝日,1,指定なし,今治第一病院,08:30～翌08:30
2026-07-20,祝日,7,小児科,あおい小児科,"09:00～12:00 / 14:00～17:00"
2026-07-20,祝日,9,指定なし,有津むらかみクリニック,09:00～17:00
2026-07-21,火曜日,1,指定なし,県立今治病院,08:30～翌08:30
2026-07-22,水曜日,1,指定なし,木原病院,08:30～翌08:30
2026-07-23,木曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-07-24,金曜日,1,指定なし,今治第一病院,08:30～翌08:30
2026-07-25,土曜日,1,指定なし,木原病院,08:30～17:30
2026-07-25,土曜日,1,指定なし,医師会市民病院,17:30～翌08:30
2026-07-26,日曜日,1,指定なし,医師会市民病院,08:30～翌08:30
2026-07-26,日曜日,5,内科,医師会市民病院,09:00～17:30
2026-07-26,日曜日,7,小児科,医師会市民病院,"09:00～12:00 / 14:00～17:00"
2026-07-26,日曜日,9,指定なし,喜多嶋診療所,09:00～17:00
2026-07-27,月曜日,1,指定なし,広瀬病院,08:30～翌08:30
2026-07-28,火曜日,1,指定なし,瀬戸内海病院,08:30～翌08:30
2026-07-29,水曜日,1,指定なし,済生会今治病院,08:30～翌08:30
2026-07-30,木曜日,1,指定なし,県立今治病院,08:30～翌08:30
2026-07-31,金曜日,1,指定なし,木原病院,08:30～翌08:30
